year,title,count
1975,The Devil's Rain,1
1994,Forrest Gump,1
1996,Normal Life,1
2001,The Man Who Wasn't There,1
2001,Blow Dry,1
1953,"The 5,000 Fingers of Dr. T.",1
1973,Save the Tiger,1
2006,The Bridge,1
1995,Bye Bye Love,1
2002,Kukushka,1
1966,The Rare Breed,1
2002,May,1
2002,El crimen del padre Amaro,1
2004,Starsky & Hutch,1
1931,Rich and Strange,1
1966,"What's Up, Tiger Lily?",1
1950,Les enfants terribles,1
1974,Bring Me the Head of Alfredo Garcia,1
1968,Oliver!,1
2004,The Chronicles of Riddick,1
1981,Przypadek,1
1964,First Men in the Moon,1
1954,Apache,1
2002,Analyze That,1
2002,Windtalkers,1
1988,The Good Mother,1
2004,Unstoppable,1
1988,Stars and Bars,1
2003,The Hebrew Hammer,1
2007,Eagle vs Shark,1
2006,Ultraviolet,1
1987,Swimming to Cambodia,1
2005,The Crow: Wicked Prayer,1
2002,Luster,1
1995,Living in Oblivion,1
1992,Enchanted April,1
2007,The Reaping,1
2002,S1m0ne,1
1988,Coming to America,1
1988,The Accused,1
1999,Xizao,1
1957,Paths of Glory,1
1951,Alice in Wonderland,1
2008,Chaos Theory,1
2003,Something's Gotta Give,1
2003,Radio,1
1978,Moment by Moment,1
1933,Duck Soup,1
2008,Frost/Nixon,1
1939,Bachelor Mother,1
1991,Puppet Master III: Toulon's Revenge,1
1988,L'homme qui plantait des arbres,1
2004,Along Came Polly,1
2002,Empire,1
1995,Blue Juice,1
1996,Daylight,1
1996,Un divan à New York,1
1994,Street Fighter,1
2008,Üç maymun,1
1987,The Brave Little Toaster,1
1983,Testament,1
1972,"What's Up, Doc?",1
2002,On_Line,1
1967,Dance of the Vampires,1
1955,Battle Cry,1
1997,Prefontaine,1
2000,Vatel,1
1987,The Year My Voice Broke,1
1982,Star Trek: The Wrath of Khan,1
1996,Box of Moon Light,1
2006,Happy Feet,1
1961,The Deadly Companions,1
2000,What Lies Beneath,1
1990,Teenage Mutant Ninja Turtles,1
1962,Mamma Roma,1
2000,Pay It Forward,1
2000,100 Girls,1
2004,Sideways,1
1995,Madagascar Skin,1
1999,The Green Mile,1
1984,A Nightmare on Elm Street,1
1954,The Purple Plain,1
1975,"Jakob, der Lügner",1
1961,The Devil at 4 O'Clock,1
1989,Stepfather II,1
1972,Dr. Phibes Rises Again,1
1998,Desperate Measures,1
2007,Pathfinder,1
1981,Sphinx,1
2008,Hellboy II: The Golden Army,1
1970,Little Big Man,1
1953,Roman Holiday,1
1998,Cats,1
1994,Dellamorte Dellamore,1
1974,The Man with the Golden Gun,1
1976,The Bad News Bears,1
1990,Hardware,1
2007,The Stone Angel,1
1998,Illuminata,1
1994,The Next Karate Kid,1
1998,O Primeiro Dia,1
1934,Bright Eyes,1
2000,Woman on Top,1
1982,"Ladies and Gentlemen, the Fabulous Stains",1
2002,Marion Bridge,1
1965,Morituri,1
1972,Cabaret,1
1982,Koyaanisqatsi,1
1993,The Secret Adventures of Tom Thumb,1
2005,State Property 2,1
1986,Monster in the Closet,1
1986,Tenue de soirée,1
1983,Star 80,1
1994,Don Juan DeMarco,1
2003,Blackball,1
1988,Shakedown,1
1994,A Man of No Importance,1
1995,Home for the Holidays,1
1996,Children of the Revolution,1
1995,Before Sunrise,1
1962,The Day of the Triffids,1
2001,"Was tun, wenn's brennt?",1
1959,The Giant Gila Monster,1
1973,The Forgotten,1
2002,Comic Book Villains,1
1991,Billy Bathgate,1
1996,Irma Vep,1
2006,Sairen,1
1986,Aliens,1
1990,Mermaids,1
2008,The Betrayal - Nerakhoon,1
2003,Agent Cody Banks,1
1983,The Man with Two Brains,1
1996,When We Were Kings,1
1966,One Million Years B.C.,1
1977,Saturday Night Fever,1
1992,Hellraiser III: Hell on Earth,1
1982,Witness for the Prosecution,1
2004,It's All Gone Pete Tong,1
2002,Dracula: Pages from a Virgin's Diary,1
1998,Such a Long Journey,1
1974,Herbie Rides Again,1
2005,Munich,1
1979,The Great Santini,1
1973,Detroit 9000,1
1992,Basic Instinct,1
2004,Kekexili,1
1984,The Hotel New Hampshire,1
1940,Waterloo Bridge,1
2006,I'm Reed Fish,1
1995,The Baby-Sitters Club,1
1979,A Little Romance,1
1988,Mystic Pizza,1
2003,Lost in Translation,1
1995,Copycat,1
1991,The Prince of Tides,1
1996,Harriet the Spy,1
2000,Vertical Limit,1
2007,Cassandra's Dream,1
1982,Victor Victoria,1
1995,Jack & Sarah,1
1981,Saturday the 14th,1
1973,White Lightning,1
2003,Confidence,1
1982,A Midsummer Night's Sex Comedy,1
1999,Todo sobre mi madre,1
1975,The Wind and the Lion,1
1996,Barb Wire,1
1985,Young Sherlock Holmes,1
1994,A Million to Juan,1
1995,Kjærlighetens kjøtere,1
1976,The Pink Panther Strikes Again,1
2002,MC5*: A True Testimonial,1
1994,The Client,1
1991,The Butcher's Wife,1
1927,The Kid Brother,1
2007,Babylon 5: The Lost Tales,1
1996,Matilda,1
2007,Trigger Man,1
1996,Mrs. Winterbourne,1
1980,Superman II,1
2004,Der Untergang,1
1999,Notting Hill,1
2006,Final Destination 3,1
1994,Priest,1
2001,Pearl Harbor,1
1985,Vision Quest,1
2005,BloodRayne,1
1990,Rocky V,1
1997,Eye of God,1
1995,From the Journals of Jean Seberg,1
1959,Pickpocket,1
1997,Little Men,1
1958,Bonjour tristesse,1
2002,Friday After Next,1
1943,The Song of Bernadette,1
2002,Tattoo,1
1969,Hello Down There,1
2002,Virginia's Run,1
2005,White Noise,1
1985,Jagged Edge,1
1962,Dr. No,1
2001,Porn Star: The Legend of Ron Jeremy,1
2006,Bordertown,1
1984,Friday the 13th: The Final Chapter,1
2000,Pokémon: The Movie 2000,1
1957,The Pride and the Passion,1
2005,The Interpreter,1
2000,The Gift,1
1997,Chasing Amy,1
1994,Death and the Maiden,1
1988,The Deceivers,1
1961,Divorzio all'italiana,1
1986,Native Son,1
1989,C.H.U.D. II - Bud the Chud,1
1941,Dumbo,1
1970,Il rosso segno della follia,1
1969,The Prime of Miss Jean Brodie,1
1982,"Come Back to the Five and Dime, Jimmy Dean, Jimmy Dean",1
2008,Center Stage: Turn It Up,1
1998,Theeviravaathi: The Terrorist,1
2000,Boys and Girls,1
1974,Animals Are Beautiful People,1
1982,Mother Lode,1
2002,Forget Baghdad: Jews and Arabs - The Iraqi Connection,1
1985,European Vacation,1
1973,The Long Goodbye,1
1996,The Substance of Fire,1
1999,Magnolia,1
2007,Meduzot,1
1961,Lover Come Back,1
1987,Morgan Stewart's Coming Home,1
2008,My Best Friend's Girl,1
1993,Fatal Instinct,1
2002,La mentale,1
2004,Welcome to Mooseport,1
1986,Le rayon vert,1
2008,Saw V,1
1956,Indestructible Man,1
1934,Manhattan Melodrama,1
1963,McLintock!,1
1993,Last Action Hero,1
1995,The Amazing Panda Adventure,1
1992,Noises Off...,1
2002,Uzak,1
1962,Carnival of Souls,1
2000,Zamani barayé masti asbha,1
2004,Yi ge mo sheng nu ren de lai xin,1
1994,I Love Trouble,1
1994,Twin Sitters,1
1976,The Killing of a Chinese Bookie,1
1997,La femme de chambre du Titanic,1
2000,La comunidad,1
1999,An Ideal Husband,1
1994,Somebody to Love,1
1962,Seppuku,1
2003,Girl with a Pearl Earring,1
1988,The Land Before Time,1
2005,The Ring Two,1
1996,The Spitfire Grill,1
1973,Don't Look Now,1
1999,Oxygen,1
1933,Dinner at Eight,1
2004,Madhouse,1
2001,Trouble Every Day,1
1931,Little Caesar,1
2004,Notre musique,1
1995,Glory Daze,1
1982,La morte vivante,1
2000,The Man Who Cried,1
1998,Major League: Back to the Minors,1
2000,Taxi 2,1
2000,Les rivières pourpres,1
1995,O Convento,1
1953,Gentlemen Prefer Blondes,1
1999,On the Ropes,1
2005,First Descent,1
1964,The Americanization of Emily,1
1990,Lambada,1
2003,Hope Springs,1
1993,Sister Act 2: Back in the Habit,1
2007,Une vieille maîtresse,1
2003,Akarui mirai,1
1989,Gleaming the Cube,1
1990,That's Black Entertainment,1
1980,Poliziotto superpiù,1
2000,Sous le sable,1
1996,Wedding Bell Blues,1
1972,Kozure Ôkami: Shinikazeni mukau ubaguruma,1
2002,Spun,1
2001,Tremors 3: Back to Perfection,1
1965,It Happened Here,1
2002,Washington Heights,1
1980,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1
1991,"Mon père, ce héros.",1
1992,Storyville,1
1962,L'eclisse,1
1974,The Parallax View,1
1994,House Party 3,1
1998,Rounders,1
2004,Born Into Brothels: Calcutta's Red Light Kids,1
2004,Sky Captain and the World of Tomorrow,1
1952,Road to Bali,1
2001,Two Can Play That Game,1
2002,Hysterical Blindness,1
1984,Best Defense,1
1996,Race the Sun,1
1991,Into the Woods,1
1990,Iron & Silk,1
1993,Siu nin Wong Fei Hung ji: Tit Ma Lau,1
1982,Porky's,1
2008,Chugyeogja,1
2000,The Legend of Bagger Vance,1
1995,Tales from the Crypt: Demon Knight,1
2006,Breaking and Entering,1
1992,Batman Returns,1
2005,London,1
2007,Talk to Me,1
1995,Free Willy 2: The Adventure Home,1
2008,The Deal,1
2004,Home on the Range,1
1996,Maximum Risk,1
2004,Meet the Fockers,1
1982,One from the Heart,1
1953,Glen or Glenda,1
1969,Doppelgänger,1
2007,Martian Child,1
1969,The Honeymoon Killers,1
2007,My Winnipeg,1
2001,Ni na bian ji dian,1
2005,Chicken Little,1
1973,Badlands,1
1989,Getting It Right,1
1984,Ososhiki,1
1998,Overnight Delivery,1
1974,The Sugarland Express,1
2008,Kataude mashin gâru,1
2007,The Water Horse,1
1968,Vargtimmen,1
1950,Destination Moon,1
1966,Tôkyô nagaremono,1
1962,Cléo de 5 à 7,1
2007,Death Sentence,1
1996,Idiot Box,1
1985,Ging chat goo si,1
2003,O Homem Que Copiava,1
1994,Maya Lin: A Strong Clear Vision,1
2006,The Oh in Ohio,1
1991,Pure Luck,1
1985,La historia oficial,1
2000,Jalla! Jalla!,1
1941,Shadow of the Thin Man,1
1997,Star Kid,1
2002,L'imbalsamatore,1
1944,Ivan Groznyy,1
1985,The Sure Thing,1
2006,The History Boys,1
2005,Corpse Bride,1
2007,Cleaner,1
2006,Flushed Away,1
1962,The Miracle Worker,1
2001,Recess: School's Out,1
2008,The Sisterhood of the Traveling Pants 2,1
2001,The Mummy Returns,1
2004,Veer-Zaara,1
1999,Ringu 2,1
1977,Equus,1
2004,Dig!,1
2000,"Love, Honour and Obey",1
2006,The Hoax,1
1997,Mad City,1
1990,A Show of Force,1
1980,The Watcher in the Woods,1
1961,Ningen no jôken,1
2005,Crustacés et coquillages,1
2002,Undercover Brother,1
1986,Half Moon Street,1
2008,Standard Operating Procedure,1
1983,Metalstorm: The Destruction of Jared-Syn,1
2000,Italiensk for begyndere,1
1985,Mitt liv som hund,1
1999,La lengua de las mariposas,1
2008,The Spirit,1
2002,Juwanna Mann,1
1980,Spetters,1
2003,Travellers and Magicians,1
1997,Ulee's Gold,1
2006,Blood Diamond,1
2002,Oligarkh,1
2000,If You Only Knew,1
2007,The Final Season,1
2004,A Dirty Shame,1
2005,Stoned,1
2006,Doogal,1
2003,Paycheck,1
2000,The Family Man,1
1998,Safe Men,1
1996,The Mirror Has Two Faces,1
2001,Monsoon Wedding,1
2003,Coffee and Cigarettes,1
1998,T-Rex: Back to the Cretaceous,1
1943,Watch on the Rhine,1
2000,Krámpack,1
1968,The Shoes of the Fisherman,1
2001,Enemy at the Gates,1
2003,Cold Mountain,1
1977,Smokey and the Bandit,1
1993,Vale Abraão,1
2002,New Best Friend,1
1983,The Sting II,1
1977,For the Love of Benji,1
1957,Pal Joey,1
1986,Iron Eagle,1
1987,No Way Out,1
1986,Something Wild,1
1983,Cross Creek,1
1959,The Diary of Anne Frank,1
1964,"Kiss Me, Stupid",1
1999,Forces of Nature,1
2008,Fireproof,1
1999,Chill Factor,1
1996,Shine,1
1937,You Only Live Once,1
1997,Hamam,1
1965,Akahige,1
1996,Dong gong xi gong,1
2006,Tuya de hun shi,1
1975,The Drowning Pool,1
1939,The Adventures of Sherlock Holmes,1
1998,Hell's Kitchen,1
1988,Memories of Me,1
1961,Town Without Pity,1
1971,Plaza Suite,1
1995,The Doom Generation,1
1978,Damien: Omen II,1
1976,La casa dalle finestre che ridono,1
1937,A Damsel in Distress,1
2000,El Bola,1
1992,Army of Darkness,1
1997,Trial and Error,1
1998,Ringmaster,1
1998,Wandâfuru raifu,1
1978,Watership Down,1
1978,Up in Smoke,1
1990,Solar Crisis,1
1942,This Gun for Hire,1
1997,Flubber,1
2008,You Don't Mess with the Zohan,1
1958,The Trollenberg Terror,1
1996,Sling Blade,1
2001,Chuen jik sat sau,1
1945,Along Came Jones,1
1984,Ghost Busters,1
1993,Shadowlands,1
1938,Boys Town,1
2002,Après la vie,1
1965,Le bonheur,1
1965,Bunny Lake Is Missing,1
1933,Das Testament des Dr. Mabuse,1
1981,Zoot Suit,1
2001,Swordfish,1
1959,Pork Chop Hill,1
1995,Castle Freak,1
2000,Vulgar,1
1993,Demolition Man,1
2005,Æon Flux,1
1991,Class Action,1
2006,Smokin' Aces,1
1984,Supergirl,1
1988,Punchline,1
1991,Hearts of Darkness: A Filmmaker's Apocalypse,1
2006,Old Joy,1
1942,The Magnificent Ambersons,1
2000,Urbania,1
1945,The Woman in Green,1
2007,Shotgun Stories,1
2002,Madame Satã,1
2000,Unbreakable,1
2004,Ett hål i mitt hjärta,1
1992,Aladdin,1
2000,Better Than Sex,1
1975,One Flew Over the Cuckoo's Nest,1
1998,Forever Fever,1
1999,Santitos,1
1995,Carnosaur 2,1
1989,Monsieur Hire,1
1992,Used People,1
2006,Starter for 10,1
2006,Factory Girl,1
1964,Tini zabutykh predkiv,1
1972,Blacula,1
2007,King Corn,1
2002,The Sweetest Thing,1
2009,Miss March,1
2004,Control Room,1
2006,How to Eat Fried Worms,1
2000,Le battement d'ailes du papillon,1
1985,Twice in a Lifetime,1
2003,National Security,1
1988,Earth Girls Are Easy,1
1997,Star Maps,1
1984,The Natural,1
1982,Blade Runner,1
2006,Jindabyne,1
2003,Monsieur Ibrahim et les fleurs du Coran,1
1985,Rocky IV,1
1979,Kramer vs. Kramer,1
1992,My Cousin Vinny,1
1997,The Full Monty,1
1953,The Band Wagon,1
2001,The Pledge,1
2002,Slap Her... She's French,1
1965,Repulsion,1
1980,Terror Train,1
2001,Shackleton's Antarctic Adventure,1
1948,So Dear to My Heart,1
1989,Going Overboard,1
1994,Wyatt Earp,1
1990,Courage Mountain,1
1994,Picture Bride,1
1957,Quatermass 2,1
1977,Star Wars,1
1994,Blankman,1
1992,Poison Ivy,1
2007,Youth Without Youth,1
1946,A Night in Casablanca,1
2007,Starting Out in the Evening,1
1954,On the Waterfront,1
1964,Mary Poppins,1
1989,The Blood of Heroes,1
1951,A Streetcar Named Desire,1
1939,The Flying Deuces,1
1982,Le père Noël est une ordure,1
1980,Urban Cowboy,1
1985,The Breakfast Club,1
1983,Star Wars: Episode VI - Return of the Jedi,1
1994,Les roseaux sauvages,1
2000,Les blessures assassines,1
2002,Van Wilder,1
2004,Ray,1
2005,Derailed,1
1986,Offret,1
1999,The Bachelor,1
1998,Festen,1
1974,California Split,1
2001,15 Minutes,1
1995,The Pompatus of Love,1
1983,Uncommon Valor,1
2000,Stardom,1
1981,Heavy Metal,1
1987,Angel Heart,1
2001,Jang Aur Aman,1
1988,Mississippi Burning,1
1991,Shakes the Clown,1
1953,Shane,1
2006,Skinwalkers,1
1949,The Third Man,1
1963,Son of Flubber,1
1953,The Desert Rats,1
2004,Feux rouges,1
1993,Son of the Pink Panther,1
1960,Peeping Tom,1
1998,No Looking Back,1
1997,The Night Flier,1
2003,Japanese Story,1
2004,Les rivières pourpres II - Les anges de l'apocalypse,1
1965,Major Dundee,1
1988,Vampire's Kiss,1
1996,Escape from L.A.,1
1989,Kickboxer,1
1985,After Hours,1
1984,Ninja III: The Domination,1
2007,War Dance,1
1980,Smokey and the Bandit II,1
1968,"The One and Only, Genuine, Original Family Band",1
2002,AKA,1
2005,Thumbsucker,1
1978,Faces of Death,1
1998,Palmetto,1
2001,Éloge de l'amour,1
1987,House II: The Second Story,1
1982,Night Shift,1
1945,The Lost Weekend,1
1995,Mallrats,1
1971,Escape from the Planet of the Apes,1
1982,Wrong Is Right,1
1995,Gazon maudit,1
1998,Love Is the Devil: Study for a Portrait of Francis Bacon,1
1970,Catch-22,1
1997,Welcome to Woop Woop,1
1941,High Sierra,1
1989,Jésus de Montréal,1
1964,Il deserto rosso,1
1976,From Noon Till Three,1
1990,The Neverending Story II: The Next Chapter,1
1996,Mars Attacks!,1
2003,Under the Tuscan Sun,1
1976,The Shootist,1
1993,Kika,1
1942,Kings Row,1
1969,Alice's Restaurant,1
1986,52 Pick-Up,1
1985,D.A.R.Y.L.,1
2001,The Last Castle,1
1989,Blind Fury,1
1986,Crimes of the Heart,1
2005,Going Shopping,1
1991,Fei ying gai wak,1
2006,The Santa Clause 3: The Escape Clause,1
1983,Le dernier combat,1
1998,Cousin Bette,1
1996,Mr. Wrong,1
1971,Giù la testa,1
1971,Le Mans,1
1982,Den enfaldige mördaren,1
1965,Beach Blanket Bingo,1
1993,Ghost in the Machine,1
1995,Carrington,1
1979,Mad Max,1
1978,The Boys in Company C,1
1979,Fukushû suru wa ware ni ari,1
2004,Godsend,1
1959,"Suddenly, Last Summer",1
1989,Cheetah,1
2004,Connie and Carla,1
2003,Biker Boyz,1
2008,Tropic Thunder,1
1981,Clash of the Titans,1
1988,Torch Song Trilogy,1
1987,The Witches of Eastwick,1
1998,L'école de la chair,1
1998,Lola rennt,1
2001,One Night at McCool's,1
1940,My Little Chickadee,1
1953,It Came from Outer Space,1
1987,Prince of Darkness,1
1993,Trois couleurs: Bleu,1
2001,Rush Hour 2,1
1999,Stir of Echoes,1
1938,Alexander's Ragtime Band,1
1937,Pépé le Moko,1
2003,"Mi Casa, Su Casa",1
2000,Urban Legends: Final Cut,1
1990,Sgt. Kabukiman N.Y.P.D.,1
2002,Buying the Cow,1
2002,Mr. Deeds,1
1998,A Soldier's Daughter Never Cries,1
2007,The Great Debaters,1
1972,"Aguirre, der Zorn Gottes",1
1991,Critters 3,1
1997,A Brother's Kiss,1
2002,Halbe Treppe,1
1984,No Small Affair,1
2007,December Boys,1
2000,Dancing at the Blue Iguana,1
1997,Soul Food,1
1945,Les dames du Bois de Boulogne,1
1980,The Mountain Men,1
1972,Shaft's Big Score!,1
1966,Blowup,1
2002,Martin Lawrence Live: Runteldat,1
1998,Urban Ghost Story,1
2000,Almost Famous,1
1999,Trick,1
1954,The Glenn Miller Story,1
1956,The Solid Gold Cadillac,1
1992,Ging chat goo si 3: Chiu kup ging chat,1
2005,Strangers with Candy,1
1922,Tess of the Storm Country,1
1975,The Hindenburg,1
2007,Zodiac,1
1997,Amy,1
1989,Puppetmaster,1
2008,Drillbit Taylor,1
2004,The Cookout,1
1983,Easy Money,1
1992,Roadside Prophets,1
2007,The Life Before Her Eyes,1
1940,My Favorite Wife,1
1967,"Charlie, the Lonesome Cougar",1
2003,Dumb and Dumberer: When Harry Met Lloyd,1
1993,Ed and His Dead Mother,1
1979,The Black Stallion,1
1963,Cleopatra,1
1991,Return to the Blue Lagoon,1
1985,The Goonies,1
2008,April Fool's Day,1
2000,Iedereen beroemd!,1
1996,Manny & Lo,1
1963,It Happened at the World's Fair,1
1998,High Art,1
1994,A Century of Cinema,1
1998,Fucking Åmål,1
1997,Batman & Robin,1
1993,Killing Zoe,1
1974,The Texas Chain Saw Massacre,1
2000,The Claim,1
2008,Nights in Rodanthe,1
1952,Ruby Gentry,1
1943,Hangmen Also Die!,1
1957,Det sjunde inseglet,1
1980,The Big Red One,1
2003,Finding Nemo,1
2001,Lantana,1
2001,Tortilla Soup,1
2007,Silk,1
1983,Never Cry Wolf,1
1997,Murder at 1600,1
1996,The First Wives Club,1
1992,Chaplin,1
1999,Ressources humaines,1
1995,Heidi Fleiss: Hollywood Madam,1
1998,Snitch,1
1927,It,1
2008,Meet Dave,1
1957,Not of This Earth,1
1960,The Wackiest Ship in the Army,1
1964,Il vangelo secondo Matteo,1
2006,Flags of Our Fathers,1
1988,Bad Dreams,1
1995,Once Upon a Time... When We Were Colored,1
1996,One Fine Day,1
1936,The Great Ziegfeld,1
1988,Braddock: Missing in Action III,1
2000,Snow Day,1
1999,New Waterford Girl,1
1988,Clara's Heart,1
1999,Soft Fruit,1
1985,Oberst Redl,1
1990,I Love You to Death,1
2002,Waking Up in Reno,1
1986,Howard the Duck,1
1988,Return of the Killer Tomatoes!,1
2000,Ha-Hesder,1
1987,Mannequin,1
1999,Boys Don't Cry,1
1993,Robin Hood: Men in Tights,1
2001,Buffalo Soldiers,1
1985,Weird Science,1
1970,The Boys in the Band,1
1997,Henry Fool,1
1989,Three Fugitives,1
1993,The Princess and the Cobbler,1
1965,Obchod na korze,1
1973,The Last of Sheila,1
1988,Cocktail,1
1936,Mr. Deeds Goes to Town,1
1981,La femme de l'aviateur,1
1982,Basket Case,1
2005,Son of the Mask,1
1985,One Magic Christmas,1
2006,The Astronaut Farmer,1
1976,The Man Who Fell to Earth,1
1947,The Paradine Case,1
1985,Kiss of the Spider Woman,1
1991,The Rapture,1
2000,Romeo Must Die,1
2008,Mamma Mia!,1
1970,The Cheyenne Social Club,1
1998,Ernest in the Army,1
1994,The New Age,1
1953,Stalag 17,1
2000,Hollow Man,1
1976,The Return of a Man Called Horse,1
1964,The Disorderly Orderly,1
1947,Body and Soul,1
1980,Seems Like Old Times,1
1976,Midway,1
2001,The Royal Tenenbaums,1
1995,Blue in the Face,1
2008,Ghost Town,1
1962,Mr. Hobbs Takes a Vacation,1
1946,The Jolson Story,1
1991,The Marrying Man,1
1953,How to Marry a Millionaire,1
1921,The Goat,1
2004,Så som i himmelen,1
1939,Drums Along the Mohawk,1
2008,Cadillac Records,1
1943,Vredens dag,1
1974,That's Entertainment!,1
1988,Police Academy 5: Assignment: Miami Beach,1
1978,The Boys from Brazil,1
2007,El orfanato,1
1991,The Commitments,1
1998,One True Thing,1
2003,Bright Young Things,1
2007,Trick 'r Treat,1
2008,Religulous,1
1916,Intolerance: Love's Struggle Throughout the Ages,1
1988,Hot to Trot,1
1999,October Sky,1
2005,Racing Stripes,1
1947,Life with Father,1
2007,Rocket Science,1
1941,Buck Privates,1
2003,Mambo italiano,1
1935,Triumph des Willens,1
2003,The Singing Detective,1
1957,Le notti di Cabiria,1
2005,Get Rich or Die Tryin',1
1999,Seven Girlfriends,1
2002,Maryam,1
2001,The Sleepy Time Gal,1
1968,If....,1
1993,Map of the Human Heart,1
1956,The Bad Seed,1
1997,Fathers' Day,1
1985,The Journey of Natty Gann,1
1967,The Gnome-Mobile,1
2003,"Die, Mommie, Die!",1
2006,Griffin & Phoenix,1
2007,Tropa de Elite,1
1999,A Slipping-Down Life,1
2003,Movie Critters' Big Picture,1
1989,Homer and Eddie,1
1984,Mrs. Soffel,1
1997,Kiss the Girls,1
2000,The Next Best Thing,1
1991,Toy Soldiers,1
1993,Lost in Yonkers,1
1999,The Other Sister,1
1997,Turbo: A Power Rangers Movie,1
2007,Moving McAllister,1
1992,Wong Fei Hung II: Nam yi dong ji keung,1
1998,Pi,1
1984,City Heat,1
1993,Wilder Napalm,1
2003,Johnny English,1
1984,A Passage to India,1
1988,Remando al viento,1
2004,The Door in the Floor,1
1993,A Bronx Tale,1
1971,And Now for Something Completely Different,1
1958,Run Silent Run Deep,1
1989,How I Got Into College,1
1990,Kindergarten Cop,1
1972,"Fratello sole, sorella luna",1
1993,Cop and ½,1
2005,Secuestro express,1
1969,The Bridge at Remagen,1
1999,Diamonds,1
1998,The Prince of Egypt,1
2005,Enron: The Smartest Guys in the Room,1
1996,"Henry: Portrait of a Serial Killer, Part 2",1
2001,The Last Minute,1
1962,Birdman of Alcatraz,1
1958,Ivan Groznyy: Skaz vmroy - Boyarskyy zagovor,1
1964,Alexis Zorbas,1
1996,Kazaam,1
1981,Deadly Blessing,1
1996,The Sunchaser,1
1968,Il grande silenzio,1
1961,Wild in the Country,1
1998,The Hi-Lo Country,1
1984,The Pope of Greenwich Village,1
1983,Blue Thunder,1
1973,Breezy,1
2004,The Assassination of Richard Nixon,1
2004,In My Father's Den,1
2001,Zir-e poost-e shahr,1
2001,Trembling Before G-d,1
1973,The Holy Mountain,1
1982,Five Days One Summer,1
1986,Violets Are Blue...,1
1976,Harlan County U.S.A.,1
1980,How to Beat the High Co$t of Living,1
1958,The Young Lions,1
1995,3 Ninjas Knuckle Up,1
1993,Die Macht der Bilder: Leni Riefenstahl,1
1991,Delicatessen,1
1998,A Price Above Rubies,1
1983,Rumble Fish,1
1986,Pretty in Pink,1
1990,"After Dark, My Sweet",1
2002,Kung Pow: Enter the Fist,1
1995,The Young Poisoner's Handbook,1
1980,The Great Rock 'n' Roll Swindle,1
1978,The Buddy Holly Story,1
2003,The Same River Twice,1
2007,Death at a Funeral,1
2002,The Trials of Henry Kissinger,1
1961,Katok i skripka,1
2004,Enduring Love,1
2008,Space Chimps,1
2002,Le fils,1
1962,In Search of the Castaways,1
2001,"Dieu est grand, je suis toute petite",1
1997,The Borrowers,1
1999,My Life So Far,1
1991,Showdown in Little Tokyo,1
1994,The Return of Jafar,1
2008,RocknRolla,1
1965,Lord Jim,1
2006,Stormbreaker,1
2002,White Oleander,1
1967,Barefoot in the Park,1
2008,Shine a Light,1
1997,The Devil's Own,1
2002,I Am Dina,1
2005,Mozart and the Whale,1
1945,They Were Expendable,1
1996,Feng yue,1
2001,Final Fantasy: The Spirits Within,1
1963,Spencer's Mountain,1
1991,Necessary Roughness,1
1993,The Saint of Fort Washington,1
1989,New York Stories,1
2008,Never Back Down,1
1969,La femme infidèle,1
1966,The Silencers,1
1982,Timerider: The Adventure of Lyle Swann,1
1998,Babylon 5: In the Beginning,1
1998,Jack Frost,1
2003,I Capture the Castle,1
1994,Mrs. Parker and the Vicious Circle,1
1957,Funny Face,1
2003,Blind Horizon,1
1994,The Paper,1
2003,The Visual Bible: The Gospel of John,1
1994,Theremin: An Electronic Odyssey,1
1974,Cani arrabbiati,1
2004,The Beautiful Country,1
1966,Return of the Seven,1
2002,Dirty Deeds,1
2008,Doubt,1
1977,Desperate Living,1
1971,Harold and Maude,1
1989,A Grand Day Out with Wallace and Gromit,1
2008,Futurama: The Beast with a Billion Backs,1
1994,Il mostro,1
2001,Me Without You,1
1981,S.O.B.,1
1987,Who's That Girl,1
2007,P2,1
1973,El espíritu de la colmena,1
2004,Bobby Jones: Stroke of Genius,1
1981,Sharky's Machine,1
2002,xXx,1
1980,Nine to Five,1
2008,Baby Mama,1
1977,Una giornata particolare,1
1995,Tom and Huck,1
1995,Nixon,1
2002,Moonlight Mile,1
1972,The Other,1
1999,Wing Commander,1
1993,Who's the Man?,1
2001,The 51st State,1
1955,The Court-Martial of Billy Mitchell,1
1993,The Remains of the Day,1
2003,Oldeuboi,1
1949,The Adventures of Ichabod and Mr. Toad,1
2005,Madagascar,1
1999,Stigmata,1
2005,Into the Blue,1
1985,Brazil,1
2005,Parineeta,1
1982,La traviata,1
1988,Powaqqatsi,1
2002,Stolen Summer,1
1969,Women in Love,1
1948,The Snake Pit,1
1951,Der Untertan,1
1950,Deadly Is the Female,1
1968,Lo sbarco di Anzio,1
1994,J'ai pas sommeil,1
1995,Forget Paris,1
1938,The Lady Vanishes,1
2004,Fahrenheit 9/11,1
1996,The Chamber,1
1932,Trouble in Paradise,1
1980,Maniac,1
1998,Dead Man on Campus,1
2008,Being Human,1
1995,The Englishman Who Went Up a Hill But Came Down a Mountain,1
2005,L'enfant,1
1983,Bill Cosby: Himself,1
1993,Short Cuts,1
2006,Unaccompanied Minors,1
2003,Brother Bear,1
1997,Paradise Road,1
2007,Bill,1
1943,Lady of Burlesque,1
